iter	Passed	Remaining
417	2487	3463
418	2493	3456
419	2498	3450
420	2503	3443
421	2508	3436
422	2513	3429
423	2518	3421
424	2524	3415
425	2541	3423
426	2546	3416
427	2550	3408
428	2555	3401
429	2560	3394
430	2565	3386
431	2570	3379
432	2574	3371
433	2579	3364
434	2584	3357
435	2589	3350
436	2594	3342
437	2599	3335
438	2604	3328
439	2609	3321
440	2614	3314
441	2620	3308
442	2626	3301
443	2631	3295
444	2636	3288
445	2642	3282
446	2647	3275
447	2652	3268
448	2657	3261
449	2662	3254
450	2667	3247
451	2672	3240
452	2677	3233
453	2682	3226
454	2687	3219
455	2693	3212
456	2697	3205
457	2703	3199
458	2708	3192
459	2713	3184
460	2717	3177
461	2723	3171
462	2728	3164
463	2734	3158
464	2739	3152
465	2745	3146
466	2751	3140
467	2757	3134
468	2764	3129
469	2770	3124
470	2776	3118
471	2782	3112
472	2788	3106
473	2793	3099
474	2798	3093
475	2804	3087
476	2810	3081
477	2815	3075
478	2821	3068
479	2826	3061
480	2831	3055
481	2836	3048
482	2841	3041
483	2846	3034
484	2852	3028
485	2858	3022
486	2864	3017
487	2870	3011
488	2875	3004
489	2880	2998
490	2886	2991
491	2891	2985
492	2895	2978
493	2901	2971
494	2906	2965
495	2911	2958
496	2916	2951
497	2921	2945
498	2926	2938
499	2932	2932
500	2937	2925
501	2942	2918
502	2947	2912
503	2952	2905
504	2957	2899
505	2962	2892
506	2967	2885
507	2972	2879
508	2977	2872
509	2991	2874
510	2996	2867
511	3001	2861
512	3006	2854
513	3011	2847
514	3016	2841
515	3021	2834
516	3026	2827
517	3031	2821
518	3036	2814
519	3041	2807
520	3046	2800
521	3051	2794
522	3056	2787
523	3061	2780
524	3067	2775
525	3072	2769
526	3078	2763
527	3084	2757
528	3090	2751
529	3096	2745
530	3102	2740
531	3107	2733
532	3113	2728
533	3119	2721
534	3124	2716
535	3130	2710
536	3136	2704
537	3142	2698
538	3152	2696
539	3158	2690
540	3163	2684
541	3168	2677
542	3174	2671
543	3179	2665
544	3185	2659
545	3191	2654
546	3197	2647
547	3202	2641
548	3207	2634
549	3212	2628
