iter	Logloss
0	0.689639085
1	0.6860489097
2	0.6829653566
3	0.6792160523
4	0.6759356983
5	0.672768059
6	0.6700200626
7	0.6669023513
8	0.6640973295
9	0.6613534603
10	0.6584039319
11	0.6557351275
12	0.6524075261
13	0.6493604595
14	0.6465043332
15	0.6437022601
16	0.6409819069
17	0.6382405188
18	0.6355605731
19	0.6331195583
20	0.6304490895
21	0.6280994059
22	0.6259407561
23	0.6236074046
24	0.6215427233
25	0.6193213819
26	0.6173160799
27	0.6148993413
28	0.6130496648
29	0.6107719606
30	0.6086409232
31	0.6067273814
32	0.6045065099
33	0.6027740957
34	0.6006471563
35	0.5984908656
36	0.5964605442
37	0.5947765497
38	0.593002742
39	0.5911462687
40	0.5893986879
41	0.587447848
42	0.5854155488
43	0.5839015251
44	0.5820866961
45	0.5802357794
46	0.5791698471
47	0.5771911991
48	0.5757303413
49	0.5742551227
50	0.5728180627
51	0.5711489493
52	0.569763447
53	0.5681393318
54	0.5663982386
55	0.5648273546
56	0.5632105977
57	0.5616700053
58	0.5599826186
59	0.5582059675
60	0.5570520185
61	0.5556349568
62	0.5542376118
63	0.5532882088
64	0.5516838758
65	0.5505164186
66	0.5489936918
67	0.5477907358
68	0.5464836348
69	0.5448908075
70	0.5437781689
71	0.5421085
72	0.5410360807
73	0.5399381193
74	0.539152687
75	0.5378269352
76	0.5365821703
77	0.5353435993
78	0.534086842
79	0.5330891192
80	0.5320387784
81	0.530708663
82	0.5295460522
83	0.5281153536
84	0.527382608
85	0.5261373168
86	0.5253201027
87	0.5241858711
88	0.5232054635
89	0.5219116535
90	0.520930592
91	0.5199801339
92	0.5187573466
93	0.5180990108
94	0.5167018418
95	0.5160039625
96	0.5152783464
97	0.514311703
98	0.5130301476
99	0.5120355576
100	0.5108128713
101	0.5098923313
102	0.5086207919
103	0.5076839222
104	0.5066145696
105	0.5057930347
106	0.5051308284
107	0.5039946366
108	0.5032155418
109	0.5024897223
110	0.5013769572
111	0.500438748
112	0.4998171148
113	0.4991474576
114	0.4986700976
115	0.4978050212
116	0.4971639657
117	0.496298518
118	0.4953952435
119	0.4944843603
120	0.4937197744
121	0.4930590642
122	0.4924250338
123	0.4918808515
124	0.4910889419
125	0.49063589
126	0.4899397026
127	0.4892464208
128	0.4886112702
129	0.4877619532
130	0.4874204964
131	0.486870947
132	0.4861632208
133	0.485619449
134	0.4850295642
135	0.4844594788
136	0.4838637978
137	0.4830083904
138	0.4824989692
139	0.4816097561
140	0.4811209871
141	0.480336154
142	0.4794942176
143	0.4788857737
144	0.4781030748
145	0.4774826745
146	0.477031614
147	0.4765125407
148	0.475751672
149	0.4749523726
150	0.4744279216
151	0.4738279816
152	0.4732180023
153	0.4726564737
154	0.4719726185
155	0.4711425719
156	0.4703439224
157	0.4699017341
158	0.4695791471
159	0.4691294623
160	0.4684837548
161	0.4680039478
162	0.4672157261
163	0.4665084526
164	0.4657645836
165	0.46496675
166	0.4643152906
167	0.463942337
168	0.4630179142
169	0.4626114394
170	0.461989771
171	0.4613198928
172	0.4605532505
173	0.4598474017
174	0.4593904798
175	0.4587210721
176	0.4581740088
177	0.4575771724
178	0.4568730296
179	0.4564798839
180	0.4557065525
181	0.4552794305
182	0.4544791224
183	0.4535526919
184	0.4529653407
185	0.4522239144
186	0.451877219
187	0.4514330282
188	0.4511211078
189	0.4506017451
190	0.4500617006
191	0.4496030334
192	0.4491436807
193	0.4483467511
194	0.4479081612
195	0.4474301816
196	0.4468063566
197	0.4463162779
198	0.4461217892
199	0.4450751142
200	0.4445988887
201	0.4440786917
202	0.4437946333
203	0.4433267558
204	0.4429884675
205	0.4420807733
206	0.4414743646
207	0.4409321903
208	0.4402050588
209	0.4396512004
210	0.4390632569
211	0.4386546388
212	0.4380752736
213	0.4378100586
214	0.4370800769
215	0.4362777966
216	0.4359196372
217	0.435298303
218	0.4347227152
219	0.434100207
220	0.4338154205
221	0.4334399407
222	0.4330040035
223	0.4324885216
224	0.4321756215
225	0.4315095766
226	0.4308616845
227	0.4306142554
228	0.430085355
229	0.4296411668
230	0.4290447856
231	0.4281422575
232	0.4273175906
233	0.4265847525
234	0.4256829403
235	0.4254439686
236	0.424894612
237	0.4244247287
238	0.4240759047
239	0.4236193251
240	0.4231744955
241	0.4227339439
242	0.4222641258
243	0.4219023015
244	0.4215640839
245	0.4212749828
246	0.4208695357
247	0.4201868705
248	0.4197055795
249	0.4195040486
250	0.4190633512
251	0.418703934
252	0.4185772602
253	0.4183281008
254	0.4180017727
255	0.4174324367
256	0.4167349947
257	0.4162458523
258	0.4157387954
259	0.4153246513
260	0.414866217
261	0.4139472447
262	0.4135339579
263	0.4131368056
264	0.4123354032
265	0.4115300833
266	0.4113067895
267	0.4110692152
268	0.4106681987
269	0.4102847443
270	0.4098954413
271	0.4095299512
272	0.4093337802
273	0.4085274115
274	0.4080584554
275	0.4078355023
276	0.4073841125
277	0.4068533636
278	0.4064751193
279	0.4059898217
280	0.4056820485
281	0.4051865573
282	0.4048213368
283	0.4046603724
284	0.404212585
285	0.4037730807
286	0.4033496646
287	0.4030886078
288	0.4027347718
289	0.4022875016
290	0.4019618648
291	0.4014308551
292	0.4010844809
293	0.4005248107
294	0.4002557559
295	0.3997982593
296	0.3994662424
297	0.3990055998
298	0.3986208881
299	0.3983390307
300	0.3979569067
301	0.3976901489
302	0.3971234649
303	0.3966071489
304	0.3964030319
305	0.3961849078
306	0.3958313255
307	0.3955156586
308	0.3952704677
309	0.3950437587
310	0.3946465231
311	0.3941752437
312	0.393642941
313	0.39329685
314	0.3931027302
315	0.3927957132
316	0.3925447489
317	0.3923046478
318	0.3919127259
319	0.3915751311
320	0.3912717617
321	0.3904735454
322	0.3898051376
323	0.3893199712
324	0.3889773237
325	0.3884477711
326	0.3878106477
327	0.3875932521
328	0.3871898684
329	0.3867948943
330	0.3864966605
331	0.386194812
332	0.3859347691
333	0.3854162652
334	0.3852973718
335	0.384912581
336	0.3847632458
337	0.3845778452
338	0.3841752034
339	0.3837508533
340	0.3834110541
341	0.3828798437
342	0.3824287338
343	0.3819766607
344	0.3814814198
345	0.380826263
346	0.3804032157
347	0.3797356456
348	0.3792452736
349	0.379030112
350	0.3784935439
351	0.3783498546
352	0.3780208196
353	0.3776638536
354	0.3770668862
355	0.3768618932
356	0.3766298515
357	0.3764567935
358	0.3762084878
359	0.3758584858
360	0.3754524676
361	0.3750931504
362	0.3745618771
363	0.3743474043
364	0.3739226615
365	0.3737120546
366	0.3735205711
367	0.3732725803
368	0.3727037575
369	0.372281566
370	0.3720964282
371	0.3715579386
372	0.3712413658
373	0.3707925643
374	0.3702492018
375	0.3698641556
376	0.3696851732
377	0.3694984608
378	0.3692964499
379	0.3686607749
380	0.3681208186
381	0.3678086248
382	0.3673204931
383	0.3670352962
384	0.3669033743
385	0.3666792399
386	0.3663245445
387	0.3662273448
388	0.3658642616
389	0.3654292218
390	0.364973636
391	0.364734039
392	0.3644393513
393	0.3642091463
394	0.3637545776
395	0.3635243139
396	0.362849472
397	0.3626787594
398	0.3625138155
399	0.3622942298
400	0.3621346172
401	0.3618984566
402	0.3615390506
403	0.3610744511
404	0.3605509934
405	0.3602888652
406	0.3599556193
407	0.3597233332
408	0.3595722421
409	0.3593751759
410	0.3591029518
411	0.3588179416
412	0.3586525817
413	0.3582874751
414	0.3580985812
415	0.3577645578
416	0.3574978538
417	0.3572787047
418	0.3570045862
419	0.3564717874
420	0.3561525275
421	0.3560330263
422	0.3558906577
423	0.3557392973
424	0.3554856207
425	0.3552977257
426	0.3550803371
427	0.3550140942
428	0.3547334488
429	0.3544241392
430	0.35430295
431	0.3539355748
432	0.353566238
433	0.3532977419
434	0.3530887235
435	0.3529314559
436	0.3525307095
437	0.3523634143
438	0.352187688
439	0.3516762921
440	0.3513644145
441	0.3512332024
442	0.3509767724
443	0.3505387499
444	0.3503542206
445	0.3501170049
446	0.3498930651
447	0.3494919466
448	0.3490077012
449	0.3487705901
450	0.3479550127
451	0.3473935
452	0.3469248821
453	0.3466896602
454	0.3463631684
455	0.3460745437
456	0.3459225271
457	0.3454538128
458	0.3451713752
459	0.3450157994
460	0.3445357934
461	0.3440629438
462	0.343887432
463	0.343226359
464	0.3429630953
465	0.342644205
466	0.3423113409
467	0.3419521812
468	0.3414535406
469	0.3411187242
470	0.3410428031
471	0.340898575
472	0.3402947486
473	0.340152415
474	0.3400651073
475	0.3396828132
476	0.3393111178
477	0.3391303495
478	0.338903719
479	0.3388582177
480	0.3386258551
481	0.3382963407
482	0.3380956063
483	0.3378161398
484	0.3375800127
485	0.3373231502
486	0.3371269178
487	0.3370459498
488	0.3367769682
489	0.3365031874
490	0.3362575249
491	0.3361508273
492	0.3355462806
493	0.3351304658
494	0.3349434004
495	0.3344060805
496	0.3339696507
497	0.3334884426
498	0.3332080937
499	0.3329726607
500	0.3328772144
501	0.3325576918
502	0.3323189373
503	0.3321419451
504	0.3315990936
505	0.3313448605
506	0.3308808399
507	0.3304348462
508	0.3300365813
509	0.3296813401
510	0.3293532589
511	0.3291220288
512	0.3287342186
513	0.3286439979
514	0.3284072228
515	0.3280004338
516	0.327865457
517	0.3274573664
518	0.3271140494
519	0.3268758135
520	0.3265204187
521	0.3262604579
522	0.3260810082
523	0.3260095912
524	0.3257202196
525	0.3252634679
526	0.3251364541
527	0.324998105
528	0.3247150773
529	0.3243308289
530	0.3239978156
531	0.3236141755
532	0.3232124407
533	0.3229491432
534	0.3227075273
535	0.322328827
536	0.3221045025
537	0.3218520301
538	0.3216572552
539	0.3214915334
540	0.3212375434
541	0.3209983928
542	0.3205741975
543	0.3204587285
544	0.3202054516
545	0.3198066785
546	0.3194332713
547	0.3187593873
548	0.3185119441
549	0.318208435
550	0.3180594103
551	0.3178543632
552	0.3176967269
553	0.3175643341
554	0.3172367082
555	0.316883721
556	0.316725792
557	0.3164249775
558	0.3161344069
559	0.3158608203
560	0.3155465879
561	0.3151727134
562	0.3149062978
563	0.314413179
564	0.3141198964
565	0.313985408
566	0.3137288833
567	0.313288778
568	0.3129310478
569	0.3127919965
570	0.3126171608
571	0.312391098
572	0.3120592446
573	0.3115985548
574	0.3114229046
575	0.3111043062
576	0.3109448597
577	0.3106929416
578	0.3104489336
579	0.310307416
580	0.3101703122
581	0.3099012229
582	0.3097862084
583	0.309612416
584	0.3092253494
585	0.3089223082
586	0.3086826259
587	0.3083967789
588	0.3081402064
589	0.3076832376
590	0.3074920631
591	0.3073695766
592	0.3073311089
593	0.3070879125
594	0.3066259979
595	0.3065901239
596	0.3064656617
597	0.3060082281
598	0.3056545984
599	0.305123546
600	0.3047742208
601	0.3046710394
602	0.3045491304
603	0.3043620471
604	0.3040595972
605	0.3038923949
606	0.3034436755
607	0.3032803577
608	0.3030752423
609	0.3025406038
610	0.3023628893
611	0.3022839633
612	0.3020732523
613	0.3020346226
614	0.301799598
615	0.3015450679
616	0.3011333013
617	0.3009196509
618	0.3004122373
619	0.3002077311
620	0.300001111
621	0.2997679419
622	0.2993362433
623	0.2989817906
624	0.2986528769
625	0.298609052
626	0.2982783492
627	0.2978689413
628	0.2976501559
629	0.2975414455
630	0.2974082462
631	0.2970703901
632	0.2967183191
633	0.2962741075
634	0.2958949004
635	0.2956410155
636	0.2952943536
637	0.2950726552
638	0.2948685472
639	0.2942477822
640	0.2937999176
641	0.293329824
642	0.293069536
643	0.2926292253
644	0.292452386
645	0.2922151714
646	0.2921700435
647	0.2920608689
648	0.2918562557
649	0.2916795775
650	0.2913878613
651	0.2911239538
652	0.2908294697
653	0.2900848325
654	0.2895361468
655	0.2894050401
656	0.2891203826
657	0.2889765215
658	0.2888815564
659	0.2887407797
660	0.2885797291
661	0.2883156645
662	0.2878166284
663	0.2877199927
664	0.2874019858
665	0.2871513707
666	0.2868295001
667	0.2865496099
668	0.2863018457
669	0.2859859544
670	0.2857397021
671	0.2853922242
672	0.2852497269
673	0.2850095113
674	0.2847404464
675	0.2843715771
676	0.2841674156
677	0.2837162828
678	0.2836591473
679	0.2834704717
680	0.283107779
681	0.2828609321
682	0.2825509734
683	0.2823671199
684	0.281893859
685	0.2815160234
686	0.2812894097
687	0.2810739111
688	0.280779698
689	0.2807426424
690	0.2806091223
691	0.2802926231
692	0.2800262384
693	0.2799496333
694	0.2798291308
695	0.2795217492
696	0.2792006022
697	0.2787598168
698	0.278481064
699	0.2782850842
700	0.2781848864
701	0.2780288356
702	0.2776152128
703	0.2774641809
704	0.276970239
705	0.2768468101
706	0.2765903006
707	0.2762522792
708	0.2758231689
709	0.2757633011
710	0.2754037556
711	0.2752392184
712	0.2751706907
713	0.275041203
714	0.2747098345
715	0.2742792721
716	0.2738391764
717	0.2734323117
718	0.2732315372
719	0.2730776871
720	0.2726248897
721	0.2723003039
